idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
3352;4211;02/07/2020;false;1;5;1;1;4;1.02E+16;Joyeria Ragazza;Ninguna
3353;4213;02/07/2020;false;1;5;1;1;4;1.02E+16;G - Soft;Ninguna
3354;4214;02/07/2020;false;1;5;1;1;4;1.02E+16;D Angeles;Ninguna
3355;4215;02/07/2020;false;1;5;1;1;3;1.02E+16;Dormi Hogar;Ninguna
3356;4216;02/07/2020;false;1;5;1;1;4;7.02E+16;Local de comida rapida;Ninguna
3357;4217;02/07/2020;false;1;5;1;1;4;7.02E+16;Picanteria Brucelas;Ninguna
3358;4218;02/07/2020;false;1;5;1;1;4;7.02E+16;Printer;Ninguna
3359;4219;02/07/2020;false;1;5;1;1;1;7.02E+16;Miguel Heredia y Gran Colombia;El predio se ha convertido en Vivienda o Conjunto Habitacional
3360;4221;02/07/2020;false;1;5;1;1;1;7.02E+16;Casa de 3 pisos amarillo con blanco;El predio se ha convertido en Vivienda o Conjunto Habitacional
3361;4222;02/07/2020;false;1;5;1;1;4;7.02E+16;Casa de 3 pisos crema con caf«ü∂∏;El predio no esta en funcionamiento
3362;4223;02/07/2020;false;1;5;1;1;4;7.02E+16;Tienda;Ninguna
3363;4224;02/07/2020;false;1;5;1;1;4;7.02E+16;Farmacia JK;Se niegan a llenar la encuesta
3364;4225;02/07/2020;false;1;5;1;1;4;7.02E+16;Papeleria 10-45;Ninguna
3365;4226;02/07/2020;false;1;5;1;1;4;7.02E+16;"Restaurantes ""Los Corales""";Se niegan a llenar la encuesta
3366;4227;02/07/2020;false;1;5;1;1;4;1.02E+16;"Panaderia y Pateleria ""Chiquitortas""";Se niegan a llenar la encuesta
3367;4228;02/07/2020;false;1;5;1;1;4;1.02E+16;Tienda del Austro;Ninguna
3368;4229;02/07/2020;false;1;5;1;1;4;1.02E+16;"Maquitex ""Cedillo""";Ninguna
3369;4230;02/07/2020;false;1;5;1;1;4;1.02E+16;La Criollita;Ninguna
3370;4231;02/07/2020;false;1;5;1;1;4;1.02E+16;joyeria,odontologia c y c, parqueadero,Dismarc;Otra
3371;4232;02/07/2020;false;1;5;1;1;3;1.02E+16;tienda, saldos,sastreria,tienda;Otra
3372;4233;02/07/2020;false;1;5;1;1;4;1.02E+16;OptiService;El horario de atencion no coincide con el horario del barrido
